FRONT_LINE_VERSION=00000

MAP_RIGHT=190000
MAP_TOP=165000


#AF00,Name,cord_x,cord_y,Nro. cabezeras,LETRAS,NROS, Clase, Damage: army
#AF00:H1,cord_x,cord_y,
#AF00:H2,cord_x,cord_y,
##clase: 1 = comun,2 = 2 pistas taxi,3= concreto con pista taxi {no usado}
## color 0 =unknow,1=red,2=blue,3=neutral(no usado),

## + UNA LINEA EN BLANCO ENTRE AF y AF!!

AF01,aerodromo--A15,4130.64,149204.7,2,-A,15,2,0:2
AF01:H1,3568.64,148642.70,
AF01:H2,4692.94,149767.00,
AF01:P1,4013.55,148785.23,3835.40,148602.91,224,
AF01:P2,3914.41,148750.39,3801.16,148638.02,225,
AF01:P3,4113.70,149335.96,3973.23,149198.13,225,
AF01:P4,4356.88,149687.99,4496.46,149828.46,404,
AF01:P5,4557.92,149772.27,4424.47,149640.59,225,

AF02,aerodromo--B06,12011.43,55624.97,2,-B,06,2,0:2
AF02:H1,11333.43,55233.97,
AF02:H2,12689.50,56017.00,
AF02:P1,11752.18,55336.29,11687.53,55191.85,204,
AF02:P2,11624.53,55156.01,11445.18,55150.69,268,
AF02:P3,12340.67,55950.74,12486.14,56045.75,416,
AF02:P4,12730.39,55874.51,12511.91,55749.97,240,

AF03,aerodromo--E14,47150.05,131284.32,2,-E,14,2,0:2
AF03:H1,47759.05,130773.32,
AF03:H2,46541.04,131795.36,
AF03:P1,46791.89,131815.94,46961.71,131672.15,130,
AF03:P2,47618.47,131123.92,47738.89,131026.53,128,
AF03:P3,46573.79,130794.90,46741.89,130809.10,445,
AF03:P4,46765.57,130777.14,46772.67,130700.19,174,

AF04,aerodromo--E02,47724.06,11567.13,2,-E,02,2,0:2
AF04:H1,46949.06,11567.13,
AF04:H2,48499.06,11567.13,
AF04:P1,47344.74,11350.64,47113.46,11352.22,270,
AF04:P2,47081.21,11373.46,47080.82,11458.81,359,
AF04:P3,48225.36,11750.06,48417.71,11750.46,449,
AF04:P4,48383.22,11433.12,48192.49,11432.72,269,

AF05,aerodromo--F14,58244.23,135076.22,2,-F,14,2,0:2
AF05:H1,57666.23,134498.22,
AF05:H2,58822.34,135654.33,
AF05:P1,57735.68,135370.91,57735.68,135698.85,360,
AF05:P2,57783.18,135451.30,57783.64,135610.24,360,
AF05:P3,57938.93,135591.97,57940.30,135454.95,179,
AF05:P4,58270.40,135631.95,58345.51,135710.81,403,
AF05:P5,58615.88,135203.86,58435.63,135021.73,224,
AF05:P6,58368.04,135397.25,58257.26,135363.46,253,
AF05:P7,58208.44,135404.76,58219.71,135515.54,365,

AF06,aerodromo--F10,57740.41,99543.12,2,-F,10,2,0:2
AF06:H1,58450.41,99133.12,
AF06:H2,57030.12,99953.12,
AF06:P1,58020.78,98942.28,57758.13,99089.10,299,
AF06:P2,58059.94,99007.53,57891.90,99090.73,296,
AF06:P3,57534.63,99343.60,57440.00,99319.13,255,
AF06:P4,57423.69,99364.81,57400.85,99465.96,347,
AF06:P5,57900.06,99669.88,57869.06,99779.18,344,

AF07,aerodromo--F06,57934.82,56199.82,2,-F,06,2,0:2
AF07:H1,57335.82,55696.82,
AF07:H2,58535.32,56703.44,
AF07:P1,57347.97,55792.82,57483.70,55905.17,410,
AF07:P2,57675.96,55876.56,57624.78,55732.96,199,
AF07:P3,57776.10,55936.22,57732.25,55736.23,192,
AF07:P4,58092.03,56564.51,58190.72,56711.69,393,
AF07:P5,58271.49,56580.70,58327.38,56714.48,382,

AF08,aerodromo--F02,57619.59,13619.7,2,-F,02,2,0:2
AF08:H1,57108.59,14228.70,
AF08:H2,58130.62,13010.69,
AF08:P1,57918.15,12989.76,57820.15,13111.36,321,
AF08:P2,57552.05,14385.76,57731.07,14172.63,139,
AF08:P3,57509.42,14312.44,57570.80,14225.49,144,
AF08:P4,57783.93,13985.08,57773.70,13812.88,183,

AF09,aerodromo--G13,62733.12,124637.91,2,-G,13,2,0:2
AF09:H1,63295.12,124075.91,
AF09:H2,62170.82,125200.22,
AF09:P1,62600.63,125387.74,62789.78,125193.79,135,
AF09:P2,62859.48,125028.76,62958.04,124925.76,136,
AF09:P3,62860.37,124923.99,62931.85,124839.19,139,
AF09:P4,62696.10,125086.04,62540.71,125243.20,315,
AF09:P5,62684.11,124954.18,62779.57,125038.98,408,
AF09:P6,63145.67,124080.95,63110.45,124046.99,226,
AF09:P7,63074.68,124042.94,62972.51,124147.62,315,

AF10,aerodromo--H08,77484.26,74541.01,2,-H,08,2,0:2
AF10:H1,78172.26,74938.01,
AF10:H2,76795.28,74143.01,
AF10:P1,76864.19,74385.21,77053.72,74489.45,421,
AF10:P2,77743.69,73798.20,77793.64,73998.01,374,
AF10:P3,77833.60,74943.12,77928.30,74998.66,419,
AF10:P4,77386.32,74316.80,77538.92,74276.84,104,

AF11,aerodromo--H06,71162.82,59132.37,2,-H,06,2,0:2
AF11:H1,70586.82,59708.37,
AF11:H2,71739.41,58555.78,
AF11:P1,70794.35,59020.65,70794.35,59219.83,360,
AF11:P2,70993.03,59562.64,71077.61,59650.72,403,
AF11:P3,71133.16,59713.27,71350.85,59491.07,135,
AF11:P4,71306.02,58836.90,71231.48,58765.12,226,
AF11:P5,71064.46,58835.52,71187.31,58955.61,405,
AF11:P6,71205.26,59335.22,71129.34,59412.52,315,
AF11:P7,71257.71,59493.96,71150.04,59593.35,312,

AF12,aerodromo--I15,81453.89,145301.94,2,-I,15,2,0:1
AF12:H1,80812.89,144852.94,
AF12:H2,82095.55,145751.19,
AF12:P1,81250.79,144927.53,80956.90,144819.38,249,
AF12:P2,82097.21,145599.96,82024.32,145383.66,198,
AF12:P3,81902.06,145778.65,81692.81,145724.58,255,
AF12:P4,80875.49,144980.10,80979.71,145049.09,416,

AF13,aerodromo--K11,100358.79,104628.12,2,-K,11,2,0:1
AF13:H1,100756.79,105318.12,
AF13:H2,99959.29,103936.80,
AF13:P1,100396.49,105120.73,100500.19,105308.19,388,
AF13:P2,100841.20,105102.28,100746.48,104940.25,210,
AF13:P3,100729.95,104014.43,100529.46,103962.90,255,
AF13:P4,100495.01,104080.94,100645.82,104122.75,434,

AF14,aerodromo--J03,96452.74,26003.13,2,-J,03,2,0:1
AF14:H1,96995.74,25460.13,
AF14:H2,95909.09,26546.79,
AF14:P1,96874.52,25827.69,97001.95,25698.69,135,
AF14:P2,95981.58,26125.18,95829.09,26270.55,313,
AF14:P3,96768.30,25492.39,96564.49,25570.78,291,
AF14:P4,96765.45,25419.70,96577.32,25489.54,290,

AF15,aerodromo--N11,136418.05,107651.32,2,-N,11,2,0:1
AF15:H1,135650.05,107651.32,
AF15:H2,137186.81,107651.32,
AF15:P1,135994.23,107397.50,135782.02,107397.50,270,
AF15:P2,136973.84,107502.25,136716.44,107500.05,269,
AF15:P3,136897.67,107828.50,137028.39,107829.13,449,
AF15:P4,137028.71,107752.30,136944.22,107751.98,269,

AF16,aerodromo--O02,141266.39,19796.19,2,-O,02,2,0:1
AF16:H1,140703.39,19233.19,
AF16:H2,141831.23,20361.03,
AF16:P1,141482.09,19107.27,141260.09,19107.27,270,
AF16:P2,141529.60,19259.40,141530.80,19187.13,179,
AF16:P3,141260.48,19130.43,141261.68,19254.61,360,
AF16:P4,141483.83,20188.70,141416.94,20252.54,313,
